model,question_id,category,lang_pair,lang_a,lang_b,similarity
llama3-70b,27,opinion,ru-zh,ru,zh,0.8467
llama3-70b,27,opinion,ru-kz,ru,kz,0.6245
llama3-70b,27,opinion,zh-kz,zh,kz,0.6254
llama3-70b,28,opinion,en-ru,en,ru,0.8771
llama3-70b,28,opinion,en-zh,en,zh,0.8158
llama3-70b,28,opinion,en-kz,en,kz,0.6824
llama3-70b,28,opinion,ru-zh,ru,zh,0.8849
llama3-70b,28,opinion,ru-kz,ru,kz,0.7109
llama3-70b,28,opinion,zh-kz,zh,kz,0.7516
llama3-70b,29,opinion,en-ru,en,ru,0.9451
llama3-70b,29,opinion,en-zh,en,zh,0.8823
llama3-70b,29,opinion,en-kz,en,kz,0.4357
llama3-70b,29,opinion,ru-zh,ru,zh,0.8895
llama3-70b,29,opinion,ru-kz,ru,kz,0.4487
llama3-70b,29,opinion,zh-kz,zh,kz,0.4062
llama3-70b,30,opinion,en-ru,en,ru,0.9082
llama3-70b,30,opinion,en-zh,en,zh,0.884
llama3-70b,30,opinion,en-kz,en,kz,0.1583
llama3-70b,30,opinion,ru-zh,ru,zh,0.8828
llama3-70b,30,opinion,ru-kz,ru,kz,0.1655
llama3-70b,30,opinion,zh-kz,zh,kz,0.1731
llama3-70b,31,commonsense,en-ru,en,ru,0.1536
llama3-70b,31,commonsense,en-zh,en,zh,0.2616
llama3-70b,31,commonsense,en-kz,en,kz,0.2909
llama3-70b,31,commonsense,ru-zh,ru,zh,0.8471
llama3-70b,31,commonsense,ru-kz,ru,kz,0.4167
llama3-70b,31,commonsense,zh-kz,zh,kz,0.3164
llama3-70b,32,commonsense,en-ru,en,ru,0.8438
llama3-70b,32,commonsense,en-zh,en,zh,0.7934
llama3-70b,32,commonsense,en-kz,en,kz,0.359
llama3-70b,32,commonsense,ru-zh,ru,zh,0.9477
llama3-70b,32,commonsense,ru-kz,ru,kz,0.3999
llama3-70b,32,commonsense,zh-kz,zh,kz,0.3843
llama3-70b,33,commonsense,en-ru,en,ru,0.6262
llama3-70b,33,commonsense,en-zh,en,zh,0.9545
llama3-70b,33,commonsense,en-kz,en,kz,0.5482
llama3-70b,33,commonsense,ru-zh,ru,zh,0.5506
llama3-70b,33,commonsense,ru-kz,ru,kz,0.6738
llama3-70b,33,commonsense,zh-kz,zh,kz,0.5245
llama3-70b,34,commonsense,en-ru,en,ru,0.7983
llama3-70b,34,commonsense,en-zh,en,zh,0.9022
llama3-70b,34,commonsense,en-kz,en,kz,0.4086
llama3-70b,34,commonsense,ru-zh,ru,zh,0.7953
llama3-70b,34,commonsense,ru-kz,ru,kz,0.4751
llama3-70b,34,commonsense,zh-kz,zh,kz,0.4624
llama3-70b,35,commonsense,en-ru,en,ru,0.1931
llama3-70b,35,commonsense,en-zh,en,zh,0.2573
llama3-70b,35,commonsense,en-kz,en,kz,0.3537
llama3-70b,35,commonsense,ru-zh,ru,zh,0.8911
llama3-70b,35,commonsense,ru-kz,ru,kz,0.3254
llama3-70b,35,commonsense,zh-kz,zh,kz,0.3581
llama3-70b,36,commonsense,en-ru,en,ru,0.8845
llama3-70b,36,commonsense,en-zh,en,zh,0.8461
llama3-70b,36,commonsense,en-kz,en,kz,0.3018
llama3-70b,36,commonsense,ru-zh,ru,zh,0.9395
llama3-70b,36,commonsense,ru-kz,ru,kz,0.3574
llama3-70b,36,commonsense,zh-kz,zh,kz,0.3572
llama3-70b,37,commonsense,en-ru,en,ru,0.9176
llama3-70b,37,commonsense,en-zh,en,zh,0.9682
llama3-70b,37,commonsense,en-kz,en,kz,0.4867
llama3-70b,37,commonsense,ru-zh,ru,zh,0.931
llama3-70b,37,commonsense,ru-kz,ru,kz,0.5221
llama3-70b,37,commonsense,zh-kz,zh,kz,0.4454
llama3-70b,38,commonsense,en-ru,en,ru,0.6618
llama3-70b,38,commonsense,en-zh,en,zh,0.8378
llama3-70b,38,commonsense,en-kz,en,kz,0.258
llama3-70b,38,commonsense,ru-zh,ru,zh,0.6908
llama3-70b,38,commonsense,ru-kz,ru,kz,0.1456
llama3-70b,38,commonsense,zh-kz,zh,kz,0.2326
llama3-70b,39,commonsense,en-ru,en,ru,0.9303
llama3-70b,39,commonsense,en-zh,en,zh,0.8303
llama3-70b,39,commonsense,en-kz,en,kz,0.6384
llama3-70b,39,commonsense,ru-zh,ru,zh,0.8913
llama3-70b,39,commonsense,ru-kz,ru,kz,0.6987
llama3-70b,39,commonsense,zh-kz,zh,kz,0.726
llama3-70b,40,commonsense,en-ru,en,ru,0.2299
llama3-70b,40,commonsense,en-zh,en,zh,0.243
llama3-70b,40,commonsense,en-kz,en,kz,0.4364
llama3-70b,40,commonsense,ru-zh,ru,zh,0.9539
llama3-70b,40,commonsense,ru-kz,ru,kz,0.4861
llama3-70b,40,commonsense,zh-kz,zh,kz,0.4854
llama3-70b,41,commonsense,en-ru,en,ru,0.8584
llama3-70b,41,commonsense,en-zh,en,zh,0.6311
llama3-70b,41,commonsense,en-kz,en,kz,0.2096
llama3-70b,41,commonsense,ru-zh,ru,zh,0.6369
llama3-70b,41,commonsense,ru-kz,ru,kz,0.2234
llama3-70b,41,commonsense,zh-kz,zh,kz,0.232
llama3-70b,42,commonsense,en-ru,en,ru,0.8318
llama3-70b,42,commonsense,en-zh,en,zh,0.7601
llama3-70b,42,commonsense,en-kz,en,kz,0.7292
llama3-70b,42,commonsense,ru-zh,ru,zh,0.8999
llama3-70b,42,commonsense,ru-kz,ru,kz,0.7153
llama3-70b,42,commonsense,zh-kz,zh,kz,0.6795
llama3-70b,43,commonsense,en-ru,en,ru,0.921
llama3-70b,43,commonsense,en-zh,en,zh,0.8688
llama3-70b,43,commonsense,en-kz,en,kz,0.2327
llama3-70b,43,commonsense,ru-zh,ru,zh,0.8833
llama3-70b,43,commonsense,ru-kz,ru,kz,0.2467
llama3-70b,43,commonsense,zh-kz,zh,kz,0.1899
llama3-70b,44,commonsense,en-ru,en,ru,0.7353
llama3-70b,44,commonsense,en-zh,en,zh,0.7512
llama3-70b,44,commonsense,en-kz,en,kz,0.5974
llama3-70b,44,commonsense,ru-zh,ru,zh,0.7805
llama3-70b,44,commonsense,ru-kz,ru,kz,0.6993
llama3-70b,44,commonsense,zh-kz,zh,kz,0.6739
llama3-70b,45,commonsense,en-ru,en,ru,0.7312
llama3-70b,45,commonsense,en-zh,en,zh,0.8889
llama3-70b,45,commonsense,en-kz,en,kz,0.4602
llama3-70b,45,commonsense,ru-zh,ru,zh,0.7438
llama3-70b,45,commonsense,ru-kz,ru,kz,0.6041
llama3-70b,45,commonsense,zh-kz,zh,kz,0.4305
llama3-70b,46,commonsense,en-ru,en,ru,0.1752
llama3-70b,46,commonsense,en-zh,en,zh,0.9304
llama3-70b,46,commonsense,en-kz,en,kz,0.6253
llama3-70b,46,commonsense,ru-zh,ru,zh,0.243
llama3-70b,46,commonsense,ru-kz,ru,kz,0.4784
llama3-70b,46,commonsense,zh-kz,zh,kz,0.6909
llama3-70b,47,commonsense,en-ru,en,ru,0.8092
llama3-70b,47,commonsense,en-zh,en,zh,0.8448
llama3-70b,47,commonsense,en-kz,en,kz,0.7446
llama3-70b,47,commonsense,ru-zh,ru,zh,0.8225
llama3-70b,47,commonsense,ru-kz,ru,kz,0.8411
llama3-70b,47,commonsense,zh-kz,zh,kz,0.8201
llama3-70b,48,commonsense,en-ru,en,ru,0.9306
llama3-70b,48,commonsense,en-zh,en,zh,0.8875
llama3-70b,48,commonsense,en-kz,en,kz,0.3024
llama3-70b,48,commonsense,ru-zh,ru,zh,0.9295
llama3-70b,48,commonsense,ru-kz,ru,kz,0.3599
llama3-70b,48,commonsense,zh-kz,zh,kz,0.2949
llama3-70b,49,commonsense,en-ru,en,ru,0.1839
llama3-70b,49,commonsense,en-zh,en,zh,0.2299
llama3-70b,49,commonsense,en-kz,en,kz,0.5051
llama3-70b,49,commonsense,ru-zh,ru,zh,0.843
llama3-70b,49,commonsense,ru-kz,ru,kz,0.3023
llama3-70b,49,commonsense,zh-kz,zh,kz,0.3297
llama3-70b,50,commonsense,en-ru,en,ru,0.8927
llama3-70b,50,commonsense,en-zh,en,zh,0.8364
llama3-70b,50,commonsense,en-kz,en,kz,0.5916
llama3-70b,50,commonsense,ru-zh,ru,zh,0.7722
llama3-70b,50,commonsense,ru-kz,ru,kz,0.6356
llama3-70b,50,commonsense,zh-kz,zh,kz,0.5325
llama3-8b,1,factual,en-ru,en,ru,0.8335
llama3-8b,1,factual,en-zh,en,zh,0.9189
llama3-8b,1,factual,en-kz,en,kz,0.4558
llama3-8b,1,factual,ru-zh,ru,zh,0.7696
llama3-8b,1,factual,ru-kz,ru,kz,0.4586
llama3-8b,1,factual,zh-kz,zh,kz,0.5218
llama3-8b,2,factual,en-ru,en,ru,0.8518
llama3-8b,2,factual,en-zh,en,zh,0.8853
llama3-8b,2,factual,en-kz,en,kz,0.425
llama3-8b,2,factual,ru-zh,ru,zh,0.9128
llama3-8b,2,factual,ru-kz,ru,kz,0.6289
llama3-8b,2,factual,zh-kz,zh,kz,0.632
llama3-8b,3,factual,en-ru,en,ru,0.816
llama3-8b,3,factual,en-zh,en,zh,0.8224
llama3-8b,3,factual,en-kz,en,kz,0.6346
llama3-8b,3,factual,ru-zh,ru,zh,0.9797
llama3-8b,3,factual,ru-kz,ru,kz,0.7447
llama3-8b,3,factual,zh-kz,zh,kz,0.7523
llama3-8b,4,factual,en-ru,en,ru,0.7254
llama3-8b,4,factual,en-zh,en,zh,0.7137
llama3-8b,4,factual,en-kz,en,kz,0.7343
llama3-8b,4,factual,ru-zh,ru,zh,0.699
llama3-8b,4,factual,ru-kz,ru,kz,0.7463
llama3-8b,4,factual,zh-kz,zh,kz,0.8273
llama3-8b,5,factual,en-ru,en,ru,0.9174
llama3-8b,5,factual,en-zh,en,zh,0.8536
llama3-8b,5,factual,en-kz,en,kz,0.7484
llama3-8b,5,factual,ru-zh,ru,zh,0.8983
llama3-8b,5,factual,ru-kz,ru,kz,0.8308
llama3-8b,5,factual,zh-kz,zh,kz,0.8081
llama3-8b,6,factual,en-ru,en,ru,0.9107
llama3-8b,6,factual,en-zh,en,zh,0.8254
llama3-8b,6,factual,en-kz,en,kz,0.4081
llama3-8b,6,factual,ru-zh,ru,zh,0.8563
llama3-8b,6,factual,ru-kz,ru,kz,0.4202
llama3-8b,6,factual,zh-kz,zh,kz,0.4061
llama3-8b,7,factual,en-ru,en,ru,0.9781
llama3-8b,7,factual,en-zh,en,zh,0.9355
llama3-8b,7,factual,en-kz,en,kz,0.8404
llama3-8b,7,factual,ru-zh,ru,zh,0.9358
llama3-8b,7,factual,ru-kz,ru,kz,0.8526
llama3-8b,7,factual,zh-kz,zh,kz,0.8108
llama3-8b,8,factual,en-ru,en,ru,0.9365
llama3-8b,8,factual,en-zh,en,zh,0.9026
llama3-8b,8,factual,en-kz,en,kz,0.7689
llama3-8b,8,factual,ru-zh,ru,zh,0.9788
llama3-8b,8,factual,ru-kz,ru,kz,0.7366
llama3-8b,8,factual,zh-kz,zh,kz,0.7183
llama3-8b,9,factual,en-ru,en,ru,0.8793
llama3-8b,9,factual,en-zh,en,zh,0.8119
llama3-8b,9,factual,en-kz,en,kz,0.6277
llama3-8b,9,factual,ru-zh,ru,zh,0.8333
llama3-8b,9,factual,ru-kz,ru,kz,0.7056
llama3-8b,9,factual,zh-kz,zh,kz,0.7192
llama3-8b,10,factual,en-ru,en,ru,0.8599
llama3-8b,10,factual,en-zh,en,zh,0.8986
llama3-8b,10,factual,en-kz,en,kz,0.0766
llama3-8b,10,factual,ru-zh,ru,zh,0.9249
llama3-8b,10,factual,ru-kz,ru,kz,0.0978
llama3-8b,10,factual,zh-kz,zh,kz,0.0667
llama3-8b,11,factual,en-ru,en,ru,0.8425
llama3-8b,11,factual,en-zh,en,zh,0.8704
llama3-8b,11,factual,en-kz,en,kz,0.7739
llama3-8b,11,factual,ru-zh,ru,zh,0.7554
llama3-8b,11,factual,ru-kz,ru,kz,0.9073
llama3-8b,11,factual,zh-kz,zh,kz,0.6813
llama3-8b,12,factual,en-ru,en,ru,0.9127
llama3-8b,12,factual,en-zh,en,zh,0.9926
llama3-8b,12,factual,en-kz,en,kz,0.3002
llama3-8b,12,factual,ru-zh,ru,zh,0.9095
llama3-8b,12,factual,ru-kz,ru,kz,0.3507
llama3-8b,12,factual,zh-kz,zh,kz,0.3215
llama3-8b,13,factual,en-ru,en,ru,0.9712
llama3-8b,13,factual,en-zh,en,zh,0.9872
llama3-8b,13,factual,en-kz,en,kz,0.9319
llama3-8b,13,factual,ru-zh,ru,zh,0.9742
llama3-8b,13,factual,ru-kz,ru,kz,0.939
llama3-8b,13,factual,zh-kz,zh,kz,0.9332
llama3-8b,14,factual,en-ru,en,ru,0.859
llama3-8b,14,factual,en-zh,en,zh,0.3179
llama3-8b,14,factual,en-kz,en,kz,0.6841
llama3-8b,14,factual,ru-zh,ru,zh,0.2928
llama3-8b,14,factual,ru-kz,ru,kz,0.6612
llama3-8b,14,factual,zh-kz,zh,kz,0.2713
llama3-8b,15,factual,en-ru,en,ru,0.9566
llama3-8b,15,factual,en-zh,en,zh,0.7815
llama3-8b,15,factual,en-kz,en,kz,0.9024
llama3-8b,15,factual,ru-zh,ru,zh,0.7583
llama3-8b,15,factual,ru-kz,ru,kz,0.8296
llama3-8b,15,factual,zh-kz,zh,kz,0.7486
llama3-8b,16,opinion,en-ru,en,ru,0.8219
llama3-8b,16,opinion,en-zh,en,zh,0.9039
llama3-8b,16,opinion,en-kz,en,kz,0.4053
llama3-8b,16,opinion,ru-zh,ru,zh,0.8931
llama3-8b,16,opinion,ru-kz,ru,kz,0.5202
llama3-8b,16,opinion,zh-kz,zh,kz,0.4854
llama3-8b,17,opinion,en-ru,en,ru,0.9066
llama3-8b,17,opinion,en-zh,en,zh,0.8271
llama3-8b,17,opinion,en-kz,en,kz,0.6276
llama3-8b,17,opinion,ru-zh,ru,zh,0.8257
llama3-8b,17,opinion,ru-kz,ru,kz,0.6557
llama3-8b,17,opinion,zh-kz,zh,kz,0.5675
llama3-8b,18,opinion,en-ru,en,ru,0.862
llama3-8b,18,opinion,en-zh,en,zh,0.8874
llama3-8b,18,opinion,en-kz,en,kz,0.7972
llama3-8b,18,opinion,ru-zh,ru,zh,0.8258
llama3-8b,18,opinion,ru-kz,ru,kz,0.8608
llama3-8b,18,opinion,zh-kz,zh,kz,0.7816
llama3-8b,19,opinion,en-ru,en,ru,0.7019
llama3-8b,19,opinion,en-zh,en,zh,0.732
llama3-8b,19,opinion,en-kz,en,kz,0.3178
llama3-8b,19,opinion,ru-zh,ru,zh,0.8267
llama3-8b,19,opinion,ru-kz,ru,kz,0.4586
llama3-8b,19,opinion,zh-kz,zh,kz,0.3668
llama3-8b,20,opinion,en-ru,en,ru,0.8181
llama3-8b,20,opinion,en-zh,en,zh,0.8767
llama3-8b,20,opinion,en-kz,en,kz,0.52
llama3-8b,20,opinion,ru-zh,ru,zh,0.883
llama3-8b,20,opinion,ru-kz,ru,kz,0.5829
llama3-8b,20,opinion,zh-kz,zh,kz,0.5702
llama3-8b,21,opinion,en-ru,en,ru,0.7976
llama3-8b,21,opinion,en-zh,en,zh,0.7646
llama3-8b,21,opinion,en-kz,en,kz,0.1092
llama3-8b,21,opinion,ru-zh,ru,zh,0.8493
llama3-8b,21,opinion,ru-kz,ru,kz,0.1979
llama3-8b,21,opinion,zh-kz,zh,kz,0.1853
llama3-8b,22,opinion,en-ru,en,ru,0.7702
llama3-8b,22,opinion,en-zh,en,zh,0.7808
llama3-8b,22,opinion,en-kz,en,kz,0.4614
llama3-8b,22,opinion,ru-zh,ru,zh,0.835
llama3-8b,22,opinion,ru-kz,ru,kz,0.4206
llama3-8b,22,opinion,zh-kz,zh,kz,0.3495
llama3-8b,23,opinion,en-ru,en,ru,0.8573
llama3-8b,23,opinion,en-zh,en,zh,0.8901
llama3-8b,23,opinion,en-kz,en,kz,0.212
llama3-8b,23,opinion,ru-zh,ru,zh,0.9165
llama3-8b,23,opinion,ru-kz,ru,kz,0.2506
llama3-8b,23,opinion,zh-kz,zh,kz,0.2348
llama3-8b,24,opinion,en-ru,en,ru,0.871
llama3-8b,24,opinion,en-zh,en,zh,0.7398
llama3-8b,24,opinion,en-kz,en,kz,0.0155
llama3-8b,24,opinion,ru-zh,ru,zh,0.7627
llama3-8b,24,opinion,ru-kz,ru,kz,0.0478
llama3-8b,24,opinion,zh-kz,zh,kz,0.0477
llama3-8b,25,opinion,en-ru,en,ru,0.8817
llama3-8b,25,opinion,en-zh,en,zh,0.856
llama3-8b,25,opinion,en-kz,en,kz,0.4843
llama3-8b,25,opinion,ru-zh,ru,zh,0.9267
llama3-8b,25,opinion,ru-kz,ru,kz,0.5477
llama3-8b,25,opinion,zh-kz,zh,kz,0.4943
llama3-8b,26,opinion,en-ru,en,ru,0.9199
llama3-8b,26,opinion,en-zh,en,zh,0.9432
llama3-8b,26,opinion,en-kz,en,kz,0.1357
llama3-8b,26,opinion,ru-zh,ru,zh,0.9139
llama3-8b,26,opinion,ru-kz,ru,kz,0.1353
llama3-8b,26,opinion,zh-kz,zh,kz,0.1226
llama3-8b,27,opinion,en-ru,en,ru,0.8453
llama3-8b,27,opinion,en-zh,en,zh,0.8397
llama3-8b,27,opinion,en-kz,en,kz,0.5039
llama3-8b,27,opinion,ru-zh,ru,zh,0.8812
llama3-8b,27,opinion,ru-kz,ru,kz,0.5372
llama3-8b,27,opinion,zh-kz,zh,kz,0.5343
llama3-8b,28,opinion,en-ru,en,ru,0.7967
llama3-8b,28,opinion,en-zh,en,zh,0.8633
llama3-8b,28,opinion,en-kz,en,kz,0.676
llama3-8b,28,opinion,ru-zh,ru,zh,0.8033
llama3-8b,28,opinion,ru-kz,ru,kz,0.7904
llama3-8b,28,opinion,zh-kz,zh,kz,0.6515
llama3-8b,29,opinion,en-ru,en,ru,0.8182
llama3-8b,29,opinion,en-zh,en,zh,0.8164
llama3-8b,29,opinion,en-kz,en,kz,0.7795
llama3-8b,29,opinion,ru-zh,ru,zh,0.6911
llama3-8b,29,opinion,ru-kz,ru,kz,0.7815
llama3-8b,29,opinion,zh-kz,zh,kz,0.6759
llama3-8b,30,opinion,en-ru,en,ru,0.7845
llama3-8b,30,opinion,en-zh,en,zh,0.7239
llama3-8b,30,opinion,en-kz,en,kz,0.6394
llama3-8b,30,opinion,ru-zh,ru,zh,0.8269
llama3-8b,30,opinion,ru-kz,ru,kz,0.8122
llama3-8b,30,opinion,zh-kz,zh,kz,0.668
llama3-8b,31,commonsense,en-ru,en,ru,0.8781
llama3-8b,31,commonsense,en-zh,en,zh,0.9398
llama3-8b,31,commonsense,en-kz,en,kz,0.7773
llama3-8b,31,commonsense,ru-zh,ru,zh,0.9094
llama3-8b,31,commonsense,ru-kz,ru,kz,0.8257
llama3-8b,31,commonsense,zh-kz,zh,kz,0.7922
llama3-8b,32,commonsense,en-ru,en,ru,0.6938
llama3-8b,32,commonsense,en-zh,en,zh,0.78
llama3-8b,32,commonsense,en-kz,en,kz,0.3501
llama3-8b,32,commonsense,ru-zh,ru,zh,0.7398
llama3-8b,32,commonsense,ru-kz,ru,kz,0.4746
llama3-8b,32,commonsense,zh-kz,zh,kz,0.4363
llama3-8b,33,commonsense,en-ru,en,ru,0.7436
llama3-8b,33,commonsense,en-zh,en,zh,0.8703
llama3-8b,33,commonsense,en-kz,en,kz,0.6241
llama3-8b,33,commonsense,ru-zh,ru,zh,0.8562
llama3-8b,33,commonsense,ru-kz,ru,kz,0.6296
llama3-8b,33,commonsense,zh-kz,zh,kz,0.6487
llama3-8b,34,commonsense,en-ru,en,ru,0.7141
llama3-8b,34,commonsense,en-zh,en,zh,0.8062
llama3-8b,34,commonsense,en-kz,en,kz,0.2179
llama3-8b,34,commonsense,ru-zh,ru,zh,0.8217
llama3-8b,34,commonsense,ru-kz,ru,kz,0.2642
llama3-8b,34,commonsense,zh-kz,zh,kz,0.2234
llama3-8b,35,commonsense,en-ru,en,ru,0.8662
llama3-8b,35,commonsense,en-zh,en,zh,0.8442
llama3-8b,35,commonsense,en-kz,en,kz,0.4846
llama3-8b,35,commonsense,ru-zh,ru,zh,0.865
llama3-8b,35,commonsense,ru-kz,ru,kz,0.5087
llama3-8b,35,commonsense,zh-kz,zh,kz,0.4591
llama3-8b,36,commonsense,en-ru,en,ru,0.8148
llama3-8b,36,commonsense,en-zh,en,zh,0.8228
llama3-8b,36,commonsense,en-kz,en,kz,0.0911
llama3-8b,36,commonsense,ru-zh,ru,zh,0.779
llama3-8b,36,commonsense,ru-kz,ru,kz,0.1924
llama3-8b,36,commonsense,zh-kz,zh,kz,0.089
llama3-8b,37,commonsense,en-ru,en,ru,0.7963
llama3-8b,37,commonsense,en-zh,en,zh,0.6724
llama3-8b,37,commonsense,en-kz,en,kz,0.4127
llama3-8b,37,commonsense,ru-zh,ru,zh,0.781
llama3-8b,37,commonsense,ru-kz,ru,kz,0.4641
llama3-8b,37,commonsense,zh-kz,zh,kz,0.4599
llama3-8b,38,commonsense,en-ru,en,ru,0.806
llama3-8b,38,commonsense,en-zh,en,zh,0.7365
llama3-8b,38,commonsense,en-kz,en,kz,0.3476
llama3-8b,38,commonsense,ru-zh,ru,zh,0.8845
llama3-8b,38,commonsense,ru-kz,ru,kz,0.3872
llama3-8b,38,commonsense,zh-kz,zh,kz,0.2882
llama3-8b,39,commonsense,en-ru,en,ru,0.9084
llama3-8b,39,commonsense,en-zh,en,zh,0.8652
llama3-8b,39,commonsense,en-kz,en,kz,0.6059
llama3-8b,39,commonsense,ru-zh,ru,zh,0.8968
llama3-8b,39,commonsense,ru-kz,ru,kz,0.7077
llama3-8b,39,commonsense,zh-kz,zh,kz,0.6911
llama3-8b,40,commonsense,en-ru,en,ru,0.9088
llama3-8b,40,commonsense,en-zh,en,zh,0.9025
llama3-8b,40,commonsense,en-kz,en,kz,0.1285
llama3-8b,40,commonsense,ru-zh,ru,zh,0.9156
llama3-8b,40,commonsense,ru-kz,ru,kz,0.1554
llama3-8b,40,commonsense,zh-kz,zh,kz,0.1139
llama3-8b,41,commonsense,en-ru,en,ru,0.8588
llama3-8b,41,commonsense,en-zh,en,zh,0.8365
llama3-8b,41,commonsense,en-kz,en,kz,0.2366
llama3-8b,41,commonsense,ru-zh,ru,zh,0.8671
llama3-8b,41,commonsense,ru-kz,ru,kz,0.2253
llama3-8b,41,commonsense,zh-kz,zh,kz,0.1473
llama3-8b,42,commonsense,en-ru,en,ru,0.8149
llama3-8b,42,commonsense,en-zh,en,zh,0.7978
llama3-8b,42,commonsense,en-kz,en,kz,0.8262
llama3-8b,42,commonsense,ru-zh,ru,zh,0.7989
llama3-8b,42,commonsense,ru-kz,ru,kz,0.7631
llama3-8b,42,commonsense,zh-kz,zh,kz,0.8325
llama3-8b,43,commonsense,en-ru,en,ru,0.9187
llama3-8b,43,commonsense,en-zh,en,zh,0.865
llama3-8b,43,commonsense,en-kz,en,kz,0.5622
llama3-8b,43,commonsense,ru-zh,ru,zh,0.8285
llama3-8b,43,commonsense,ru-kz,ru,kz,0.5943
llama3-8b,43,commonsense,zh-kz,zh,kz,0.5129
llama3-8b,44,commonsense,en-ru,en,ru,0.6358
llama3-8b,44,commonsense,en-zh,en,zh,0.738
llama3-8b,44,commonsense,en-kz,en,kz,0.5823
llama3-8b,44,commonsense,ru-zh,ru,zh,0.692
llama3-8b,44,commonsense,ru-kz,ru,kz,0.6837
llama3-8b,44,commonsense,zh-kz,zh,kz,0.7231
llama3-8b,45,commonsense,en-ru,en,ru,0.7327
llama3-8b,45,commonsense,en-zh,en,zh,0.8682
llama3-8b,45,commonsense,en-kz,en,kz,0.0441
llama3-8b,45,commonsense,ru-zh,ru,zh,0.8231
llama3-8b,45,commonsense,ru-kz,ru,kz,0.0861
llama3-8b,45,commonsense,zh-kz,zh,kz,0.0772
llama3-8b,46,commonsense,en-ru,en,ru,0.8451
llama3-8b,46,commonsense,en-zh,en,zh,0.9419
llama3-8b,46,commonsense,en-kz,en,kz,0.1323
llama3-8b,46,commonsense,ru-zh,ru,zh,0.8439
llama3-8b,46,commonsense,ru-kz,ru,kz,0.1155
llama3-8b,46,commonsense,zh-kz,zh,kz,0.1157
llama3-8b,47,commonsense,en-ru,en,ru,0.8966
llama3-8b,47,commonsense,en-zh,en,zh,0.7151
llama3-8b,47,commonsense,en-kz,en,kz,0.516
llama3-8b,47,commonsense,ru-zh,ru,zh,0.7831
llama3-8b,47,commonsense,ru-kz,ru,kz,0.6189
llama3-8b,47,commonsense,zh-kz,zh,kz,0.5158
llama3-8b,48,commonsense,en-ru,en,ru,0.9202
llama3-8b,48,commonsense,en-zh,en,zh,0.8588
llama3-8b,48,commonsense,en-kz,en,kz,0.2402
llama3-8b,48,commonsense,ru-zh,ru,zh,0.9205
llama3-8b,48,commonsense,ru-kz,ru,kz,0.2318
llama3-8b,48,commonsense,zh-kz,zh,kz,0.2154
llama3-8b,49,commonsense,en-ru,en,ru,0.886
llama3-8b,49,commonsense,en-zh,en,zh,0.819
llama3-8b,49,commonsense,en-kz,en,kz,0.1193
llama3-8b,49,commonsense,ru-zh,ru,zh,0.7704
llama3-8b,49,commonsense,ru-kz,ru,kz,0.1434
llama3-8b,49,commonsense,zh-kz,zh,kz,0.1888
llama3-8b,50,commonsense,en-ru,en,ru,0.8579
llama3-8b,50,commonsense,en-zh,en,zh,0.8498
llama3-8b,50,commonsense,en-kz,en,kz,0.6122
llama3-8b,50,commonsense,ru-zh,ru,zh,0.903
llama3-8b,50,commonsense,ru-kz,ru,kz,0.6606
llama3-8b,50,commonsense,zh-kz,zh,kz,0.6679
